league,week,matches,logloss,brier,roc_btts,roc_over
Bundesliga,1,1,1.4160413968183907,0.9191646093372945,,
Bundesliga,2,4,1.1783546497989419,0.703694630195379,0.33333333333333337,0.33333333333333337
Bundesliga,3,3,1.3144801327874636,0.8021727482308473,1.0,1.0
Bundesliga,4,2,1.021984790080512,0.6117771849954665,,
Bundesliga,31,1,1.4626142917126028,0.9068032401471773,,
Bundesliga,32,1,1.423624720350783,0.873443098000558,,
Bundesliga,34,1,0.6708397789507389,0.36216809316573717,,
Bundesliga,35,2,1.074919374000193,0.6424035064511994,1.0,0.0
Bundesliga,37,2,1.357635152045727,0.8486334218122933,,
Bundesliga,38,1,1.0674231657399509,0.6471139039566542,,
Bundesliga,39,2,0.9292912352732353,0.546683134981141,0.0,
Bundesliga,40,3,1.275817049807804,0.825300045354469,1.0,0.5
Bundesliga,41,1,0.1898440749769666,0.05195946084270274,,
Bundesliga,42,1,0.9439416642997701,0.5608861061171584,,
Bundesliga,43,3,0.9089327115431053,0.5353197865099731,1.0,1.0
Bundesliga,44,1,1.1679637675386618,0.7477563290084138,,
Bundesliga,45,2,1.1415273970980948,0.7208074805500115,,
Bundesliga,46,2,0.9470395891012253,0.5660809037376109,0.0,
Bundesliga,47,2,0.962619825716202,0.5820615082480007,1.0,
Bundesliga,48,2,0.8651336669138571,0.5040931236500137,0.0,0.0
Bundesliga,50,1,0.9951485930326983,0.6164506971405641,,
Bundesliga,51,3,1.049623169195258,0.6589273714274156,0.0,0.5
Bundesliga,52,4,0.776816466520325,0.43792145245562486,0.5,1.0
EPL,1,2,0.9775818275834296,0.5831450416963524,,
EPL,2,1,0.7432946829214835,0.4126031534803323,,
EPL,4,2,1.1861294982559123,0.7355296226660866,0.0,0.0
EPL,31,1,0.4932090385656334,0.2299910545798219,,
EPL,32,2,1.146715677726644,0.6912709700113218,1.0,
EPL,34,3,0.9069024202495176,0.528091896504774,0.0,
EPL,35,4,0.9765939057524358,0.5746396981816413,1.0,1.0
EPL,36,1,0.680497792092527,0.365702917708258,,
EPL,37,1,0.7966852805840023,0.4525373454259108,,
EPL,39,3,0.6863721117806841,0.37985064111143235,0.0,0.0
EPL,40,1,1.1320520557570044,0.7199498682189114,,
EPL,41,2,1.518148324125122,0.9141706499043614,1.0,1.0
EPL,42,3,0.9617043978542141,0.5675940829703294,1.0,
EPL,44,1,1.4572905753360959,0.9135201379265145,,
EPL,45,1,1.4403734079739838,0.8897317705636468,,
EPL,46,2,1.565165369095285,0.9376178879463406,,
EPL,47,1,0.6067585394276426,0.323161217943862,,
EPL,48,4,1.053629659690262,0.6216027147112975,0.33333333333333337,
EPL,49,2,0.8561016077316381,0.49855711622213716,1.0,1.0
EPL,50,1,0.793584111212032,0.45043117192593574,,
LaLiga,1,1,1.3316048853675422,0.8380740421726597,,
LaLiga,2,1,1.1870942805382283,0.7337348180713769,,
LaLiga,3,2,0.6529294308048665,0.3649381477959308,0.0,0.0
LaLiga,4,1,0.8617301798867663,0.5013525721184441,,
LaLiga,31,4,1.0120142384831965,0.646208002492779,,1.0
LaLiga,32,2,1.1453387659610663,0.7153519304805704,0.0,
LaLiga,33,3,0.988928370090488,0.5959018300664215,,
LaLiga,34,2,0.9966592143153761,0.6106927746222134,,
LaLiga,36,3,0.7562785269028783,0.44101316568261373,0.5,0.5
LaLiga,37,3,0.9999353026563947,0.5903004742924617,0.0,
LaLiga,38,4,0.9563204892959237,0.5859623980118126,1.0,
LaLiga,39,1,0.6316058283818068,0.3302412007673401,,
LaLiga,40,1,1.1913428830835673,0.7392130750348886,,
LaLiga,41,1,0.6472387305654322,0.3469486903250471,,
LaLiga,42,1,1.2984504045240586,0.7964414374730393,,
LaLiga,43,2,0.6975564858853254,0.38142680955507496,,
LaLiga,44,4,0.6913873322032289,0.3790811001865645,0.0,
LaLiga,46,2,0.9117753503324212,0.5749332802888971,,
LaLiga,47,2,1.2556181337916312,0.7723945996367599,,
LaLiga,49,2,1.0360835674887257,0.6257826114425008,1.0,1.0
LaLiga,50,3,1.0533836726454466,0.6323397197641039,1.0,0.0
LaLiga,51,2,1.027059104204266,0.6322254068728392,,1.0
LaLiga,52,2,1.1920737914951873,0.7506564773835144,0.0,
SerieA,1,3,1.0507060489639992,0.6349673719000731,0.0,0.0
SerieA,2,1,0.5211856455921673,0.2520764219820703,,
SerieA,3,2,0.7561570796524877,0.4277266981821083,0.0,0.0
SerieA,4,1,0.6832636560492199,0.36789655484655426,,
SerieA,32,2,1.1513896907906103,0.7312577049957368,1.0,
SerieA,33,4,1.2105256988523971,0.737044034885575,,0.3333333333333333
SerieA,34,1,1.0929845384230616,0.7259248747938138,,
SerieA,35,1,0.9869081649932542,0.591009788733871,,
SerieA,36,3,1.3715654710860923,0.7726218555314621,,
SerieA,37,1,0.5056634867061836,0.24435191915792154,,
SerieA,38,2,0.934787048749616,0.5279697974938073,,
SerieA,39,1,0.862912031476213,0.5025856419608176,,
SerieA,40,2,0.49235767690599064,0.24410554429023976,1.0,1.0
SerieA,41,3,1.2310249822730066,0.7923727902022346,1.0,0.5
SerieA,42,2,0.6330706082432006,0.35505708183415574,1.0,1.0
SerieA,43,2,0.45470285152827494,0.2615317129836543,,1.0
SerieA,44,1,0.7563589183014763,0.42235345282299236,,
SerieA,45,4,0.7771753839799775,0.4622847258869796,0.6666666666666666,0.6666666666666666
SerieA,46,1,1.1968915200067287,0.7640892822484191,,
SerieA,47,2,0.8423867132238971,0.4912679494855543,1.0,1.0
SerieA,48,1,0.5147311391632271,0.2502941723452725,,
SerieA,49,3,1.3937670116535947,0.7080068972005839,1.0,1.0
SerieA,50,2,0.6685063948034344,0.359448248252804,,
SerieA,51,2,1.0891764006793396,0.6443524750069216,,
SerieA,52,1,1.2232954107829963,0.7519477730910136,,
